20242434 , 530787
5914627 , 2677617
21004298 , 21051710
21004298 , 20752154
1196074 , 89228
1196074 , 546017
21184560 , 17540971
21184560 , 21185301
21061710 , 20918776
21061710 , 20939838
21061710 , 20892251
12165200 , 20503992
20940136 , 419163
20940136 , 3501382
991350 , 5192753
4817018 , 4757402
12419198 , 89228
12419198 , 6880090
12419198 , 20503671
12419198 , 2715847
12419198 , 20262829
12419198 , 20182827
12419198 , 20185353
32899 , 19071601
9257094 , 6797984
13312139 , 19228198
196776 , 172486
22511787 , 22167975
6824122 , 7701429
2801882 , 22484393
20947173 , 21047485
606448 , 12578908
20488443 , 20416078
20185353 , 12419198
5944708 , 6142689
21160253 , 33978
3096948 , 20918146
3490173 , 3472515
9937279 , 880530
1450393 , 9371238
1450393 , 20455032
20898212 , 4675728
22167975 , 22511787
4530611 , 4574053
2425270 , 22247755
5037762 , 1035340
172486 , 196776
21094855 , 1210396
7255463 , 22391134
7255463 , 5044073
43775 , 18940194
9755538 , 12128948
19841535 , 3439639
20267564 , 20875795
20587060 , 11340963
5497399 , 20421825
22331961 , 4676728
4661818 , 5492980
21103216 , 1392413
19071601 , 32899
22471289 , 2697039
2073235 , 4265988
1000900 , 3702675
22397610 , 3955790
2745008 , 2972212
582336 , 1557571
582336 , 21081995
582336 , 20424419
17236675 , 338768
20824772 , 50499
20824772 , 918154
541390 , 22456971
3982036 , 19602535
21144299 , 21147686
21144299 , 21146417
5300988 , 19151
773 , 20986463
21185301 , 21184560
5145378 , 301134
14532742 , 20829507
20947780 , 20706614
20947780 , 14638041
19227478 , 21029912
21070690 , 8906506
20374415 , 38987
4113307 , 22242730
5494256 , 5494973
2098088 , 20532148
656297 , 22482336
5178292 , 7475223
7701429 , 6824122
5063607 , 20793916
492519 , 2281850
492519 , 20360795
492519 , 20787276
492519 , 2575760
7300072 , 17466561
5276652 , 5217042
3012488 , 22314935
5022725 , 1331471
8217613 , 5020538
21136404 , 8533318
21029912 , 19227478
7636004 , 6822725
20939838 , 21061710
20939838 , 20918776
20939838 , 20892251
1557571 , 582336
1557571 , 9423136
4293701 , 100624
2758159 , 11513132
4566655 , 452969
4566655 , 553784
20972676 , 240178
22381711 , 22300349
22316184 , 6304040
22316184 , 17330160
22406309 , 22480394
2715847 , 20503671
2715847 , 14461843
2715847 , 20393514
2715847 , 20393534
2715847 , 20182827
2715847 , 12419198
33978 , 563840
33978 , 21160253
17466561 , 7300072
5020538 , 8217613
17925381 , 11863775
4728073 , 4782590
17614090 , 12858779
20923663 , 492483
22275350 , 2429511
20612377 , 4198906
509211 , 22314935
509211 , 22290425
22365473 , 22366218
4575698 , 21123732
4575698 , 4198906
4015417 , 54867
4015417 , 5261018
4015417 , 4460950
22422843 , 594266
50499 , 20824772
1934675 , 20786478
4949335 , 1316767
419163 , 22228919
419163 , 21031592
419163 , 20940136
2827623 , 1285269
3827065 , 21169738
3827065 , 20874870
3827065 , 5626193
22250893 , 22386072
20956568 , 20958971
22332832 , 6740918
3212712 , 22262791
22242730 , 4113307
4638125 , 4599166
5492980 , 2101961
5492980 , 4661818
3679694 , 20500998
5203415 , 22676
20514267 , 20536523
22218212 , 22676
5555712 , 21147897
5555712 , 3996904
22480394 , 22406309
20181250 , 20437728
21054995 , 3484293
34328 , 32404
19228198 , 13312139
22521383 , 2158395
22521383 , 5286541
4662835 , 4718544
2885190 , 2819696
21169738 , 3827065
20416078 , 20488443
20416078 , 20392196
21071448 , 21051710
2617615 , 5239547
2819696 , 2885190
20874870 , 21158102
20874870 , 3827065
100003 , 20715035
100003 , 111234
2967224 , 6579995
22300349 , 22381711
20276927 , 12578908
5564098 , 5541324
21030519 , 4750806
18940194 , 43775
4490961 , 20615574
5261018 , 4015417
10569438 , 14456908
11863775 , 17925381
18908897 , 22314935
18908897 , 4009672
20424419 , 582336
151846 , 1084514
20907753 , 448271
20473589 , 5442910
354038 , 736043
3917574 , 8385602
8906506 , 21070690
21079820 , 5420789
20752154 , 21004298
20752154 , 21051710
20850508 , 20828768
2697039 , 22498038
2697039 , 22471289
17540971 , 21184560
984941 , 1657614
10079210 , 1823058
7456638 , 70528
21030788 , 802134
21030788 , 20393514
4900747 , 4865325
5295087 , 5254021
20391849 , 20368047
20391849 , 20339934
20281991 , 20281462
567222 , 20581491
567222 , 20446006
10667960 , 14102416
2369492 , 4082298
5162991 , 5339333
17221627 , 17577177
5302274 , 5262406
22366218 , 22429284
22366218 , 22365473
5515278 , 14824522
5589031 , 3348753
1730600 , 4823223
22521901 , 12423614
1517616 , 22306568
2452488 , 886895
5009722 , 5055443
886895 , 2452488
5286020 , 5453267
20637830 , 20660094
20637830 , 20650279
4647050 , 4628290
20596884 , 350799
20596892 , 20556869
7456933 , 22002968
7456933 , 768634
15960249 , 11513132
21047485 , 20947173
3033329 , 20314049
20402558 , 2158395
20402558 , 20454820
21063935 , 7805552
20392196 , 20416078
20392196 , 20343382
100624 , 4293701
9423136 , 1557571
20952797 , 21000790
7396849 , 22010277
7396849 , 20893322
7396849 , 4775146
6048085 , 4545661
19532125 , 22106687
22391134 , 7255463
22391134 , 22392137
21104997 , 17317683
452969 , 20793916
452969 , 553784
452969 , 4566655
21055859 , 20905350
21055859 , 22236727
21055859 , 21068676
5384570 , 11353874
20523387 , 7601823
878972 , 5419
20990336 , 6880090
20990336 , 295459
20990336 , 20789427
4460950 , 4015417
7755501 , 920910
20556869 , 20596892
21080491 , 4787291
706989 , 89228
1894846 , 22517080
4996174 , 4590407
764412 , 454648
20875795 , 20267564
20400671 , 749796
5745199 , 546017
240178 , 22436447
240178 , 20972676
240178 , 20509633
20793916 , 452969
20793916 , 5063607
4981174 , 4324558
22259468 , 3798835
20253264 , 20313941
22194774 , 4984428
22194774 , 20980965
22194774 , 20503671
17050202 , 20910026
20892251 , 21061710
20892251 , 20918776
20892251 , 20939838
2812520 , 10763440
19602535 , 3982036
19602535 , 35470
9415785 , 22359832
9415785 , 20509570
12200580 , 22215554
3484293 , 21054995
22456971 , 541390
35470 , 6025714
35470 , 19602535
21195423 , 749796
6579995 , 2967224
21031592 , 419163
22440619 , 1267869
21965484 , 2281850
21965484 , 19412669
20368047 , 20391849
4512733 , 4512982
19827404 , 22232536
19151 , 5434891
19151 , 5300988
13092643 , 22313407
22498038 , 2697039
15411967 , 5376837
1657614 , 984941
4313560 , 1117958
20326190 , 4398967
21146417 , 21147686
21146417 , 21144299
4901687 , 1281184
5376837 , 15411967
4590407 , 4996174
89228 , 1196074
89228 , 706989
89228 , 22386072
89228 , 20388992
89228 , 12419198
338768 , 17236675
21162838 , 21196761
13503320 , 855191
4574053 , 4530611
9997176 , 10045562
584575 , 601236
5254021 , 5295087
14519177 , 3702675
14461843 , 2715847
3271590 , 1972259
6589358 , 2932408
20532148 , 2098088
5163974 , 4936620
7629813 , 32404
20313941 , 20253264
22326280 , 22354983
22326280 , 22321602
68630 , 9755990
68630 , 4709510
4574263 , 5069224
22244411 , 2847386
